feature,importance,tipo,seleccionada,umbral_falsa_max
mextraccion_autoservicio_delta1,0.00026881837995095854,real,False,0.004158182017433896
chomebanking_transacciones_delta1,0.0002663433034614358,real,False,0.004158182017433896
internet_lag1,0.0002642491526258329,real,False,0.004158182017433896
mttarjeta_visa_debitos_automaticos_lag2,0.0002630559258808612,real,False,0.004158182017433896
cliente_edad_delta2,0.000260529302209685,real,False,0.004158182017433896
Master_fechaalta_delta1,0.0002602496281724827,real,False,0.004158182017433896
Visa_msaldopesos_delta1,0.0002563207871851001,real,False,0.004158182017433896
ccajas_consultas_delta1,0.0002557013085402581,real,False,0.004158182017433896
mtransferencias_emitidas_lag1,0.00025451217893272907,real,False,0.004158182017433896
mpayroll2_percentil,0.00024895700107785315,real,False,0.004158182017433896
mcomisiones_mantenimiento_delta1,0.000248283489382819,real,False,0.004158182017433896
Master_mpagospesos_delta1,0.00024702469787295375,real,False,0.004158182017433896
tcallcenter_delta2,0.00024154994561626067,real,False,0.004158182017433896
cextraccion_autoservicio_lag1,0.00024003899999822123,real,False,0.004158182017433896
ctransferencias_emitidas_lag2,0.00023838371487211652,real,False,0.004158182017433896
ctarjeta_debito_transacciones_lag2,0.00022862472878724106,real,False,0.004158182017433896
ccallcenter_transacciones_delta2,0.00022710402784887877,real,False,0.004158182017433896
mplazo_fijo_dolares_lag1,0.00022647737204019584,real,False,0.004158182017433896
Master_mconsumototal_lag2,0.00022526292290405475,real,False,0.004158182017433896
Master_mconsumosdolares_delta2,0.00022367232433672868,real,False,0.004158182017433896
catm_trx_other_lag2,0.0002204732379500092,real,False,0.004158182017433896
Visa_msaldopesos_delta2,0.0002201018455058533,real,False,0.004158182017433896
cextraccion_autoservicio_lag2,0.0002193808301551099,real,False,0.004158182017433896
Visa_delinquency_lag1,0.00021623411730939708,real,False,0.004158182017433896
mttarjeta_visa_debitos_automaticos_delta2,0.00021367875305643985,real,False,0.004158182017433896
cproductos_lag2,0.00020552512685771871,real,False,0.004158182017433896
internet_delta1,0.00020467415734339676,real,False,0.004158182017433896
Master_mpagospesos_lag2,0.00020428837549575667,real,False,0.004158182017433896
Visa_Fvencimiento_delta2,0.0002032661924339412,real,False,0.004158182017433896
Visa_msaldodolares_delta2,0.00020304107303354912,real,False,0.004158182017433896
Visa_cconsumos_delta2,0.0002026556997262409,real,False,0.004158182017433896
Visa_madelantodolares,0.0001994573389055777,real,False,0.004158182017433896
ccajas_consultas_lag1,0.00019631046223507104,real,False,0.004158182017433896
Visa_madelantopesos_lag1,0.00019234383053900718,real,False,0.004158182017433896
ccajas_otras_delta1,0.00018818553985351872,real,False,0.004158182017433896
